alert_id,frame_idx,time_sec,item_id,class_name,owner_id,unattended_duration_sec,center_x,center_y
1,680,22.675,3,laptop,6,4.968,567.5,206.5
2,680,22.675,7,backpack,6,4.968,50.2,292.5
3,680,22.675,12,backpack,6,4.968,545.6,231.4
4,680,22.675,13,handbag,6,4.968,547.1,223.6
5,680,22.675,17,handbag,6,4.968,541.9,342.9
6,680,22.675,19,handbag,6,4.968,540.4,325.4
7,680,22.675,20,backpack,6,4.968,564.6,360.4
8,680,22.675,21,backpack,6,4.968,536.1,363.1
9,1099,36.647,14,laptop,22,4.968,464.8,258.0
10,1099,36.647,23,backpack,22,4.968,571.7,364.4
11,1099,36.647,25,backpack,22,4.968,575.3,367.2
12,1251,41.715,28,laptop,26,4.968,258.5,314.3
13,1380,46.017,35,backpack,30,4.968,580.7,364.4
14,1380,46.017,36,backpack,30,4.968,580.1,360.2
15,1608,53.619,1,laptop,34,4.968,248.4,248.8
